UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 16:06 ?        00:00:03 /sbin/init splash
root           2       0  0 16:06 ?        00:00:00 [kthreadd]
root           3       2  0 16:06 ?        00:00:00 [rcu_gp]
root           4       2  0 16:06 ?        00:00:00 [rcu_par_gp]
root           5       2  0 16:06 ?        00:00:00 [slub_flushwq]
root           6       2  0 16:06 ?        00:00:00 [netns]
root           8       2  0 16:06 ?        00:00:00 [kworker/0:0H-kblockd]
root          10       2  0 16:06 ?        00:00:04 [kworker/u2:0-events_power_efficient]
root          11       2  0 16:06 ?        00:00:00 [mm_percpu_wq]
root          12       2  0 16:06 ?        00:00:00 [rcu_tasks_kthread]
root          13       2  0 16:06 ?        00:00:00 [rcu_tasks_rude_kthread]
root          14       2  0 16:06 ?        00:00:00 [rcu_tasks_trace_kthread]
root          15       2  0 16:06 ?        00:00:02 [ksoftirqd/0]
root          16       2  0 16:06 ?        00:00:03 [rcu_preempt]
root          17       2  0 16:06 ?        00:00:00 [migration/0]
root          18       2  0 16:06 ?        00:00:00 [idle_inject/0]
root          19       2  0 16:06 ?        00:00:00 [cpuhp/0]
root          20       2  0 16:06 ?        00:00:00 [kdevtmpfs]
root          21       2  0 16:06 ?        00:00:00 [inet_frag_wq]
root          23       2  0 16:06 ?        00:00:00 [kauditd]
root          24       2  0 16:06 ?        00:00:00 [khungtaskd]
root          25       2  0 16:06 ?        00:00:00 [oom_reaper]
root          27       2  0 16:06 ?        00:00:00 [writeback]
root          28       2  0 16:06 ?        00:00:00 [kcompactd0]
root          29       2  0 16:06 ?        00:00:00 [ksmd]
root          30       2  0 16:06 ?        00:00:00 [khugepaged]
root          31       2  0 16:06 ?        00:00:00 [kintegrityd]
root          32       2  0 16:06 ?        00:00:00 [kblockd]
root          33       2  0 16:06 ?        00:00:00 [blkcg_punt_bio]
root          34       2  0 16:06 ?        00:00:00 [tpm_dev_wq]
root          35       2  0 16:06 ?        00:00:00 [ata_sff]
root          36       2  0 16:06 ?        00:00:00 [md]
root          37       2  0 16:06 ?        00:00:00 [md_bitmap]
root          38       2  0 16:06 ?        00:00:00 [edac-poller]
root          39       2  0 16:06 ?        00:00:00 [devfreq_wq]
root          40       2  0 16:06 ?        00:00:00 [watchdogd]
root          42       2  0 16:06 ?        00:00:00 [kswapd0]
root          43       2  0 16:06 ?        00:00:00 [ecryptfs-kthread]
root          44       2  0 16:06 ?        00:00:00 [kthrotld]
root          45       2  0 16:06 ?        00:00:00 [acpi_thermal_pm]
root          46       2  0 16:06 ?        00:00:00 [scsi_eh_0]
root          47       2  0 16:06 ?        00:00:00 [scsi_tmf_0]
root          48       2  0 16:06 ?        00:00:00 [scsi_eh_1]
root          49       2  0 16:06 ?        00:00:00 [scsi_tmf_1]
root          54       2  0 16:06 ?        00:00:00 [mld]
root          55       2  0 16:06 ?        00:00:00 [ipv6_addrconf]
root          62       2  0 16:06 ?        00:00:00 [kstrp]
root          64       2  0 16:06 ?        00:00:00 [kworker/u3:0]
root          68       2  0 16:06 ?        00:00:00 [charger_manager]
root         104       2  0 16:06 ?        00:00:00 [scsi_eh_2]
root         105       2  0 16:06 ?        00:00:00 [scsi_tmf_2]
root         135       2  0 16:06 ?        00:00:01 [jbd2/sda3-8]
root         136       2  0 16:06 ?        00:00:00 [ext4-rsv-conver]
root         175       1  0 16:06 ?        00:00:02 /lib/systemd/systemd-journald
root         203       2  0 16:06 ?        00:00:00 [irq/18-vmwgfx]
root         204       2  0 16:06 ?        00:00:00 [ttm]
root         209       1  0 16:06 ?        00:00:00 /lib/systemd/systemd-udevd
root         313       2  0 16:06 ?        00:00:00 [cryptd]
systemd+     364       1  0 16:06 ?        00:00:04 /lib/systemd/systemd-oomd
systemd+     366       1  0 16:06 ?        00:00:00 /lib/systemd/systemd-resolved
systemd+     368       1  0 16:07 ?        00:00:00 /lib/systemd/systemd-timesyncd
root         460       1  0 16:07 ?        00:00:00 /usr/libexec/accounts-daemon
root         462       1  0 16:07 ?        00:00:00 /usr/sbin/acpid
avahi        466       1  0 16:07 ?        00:00:00 avahi-daemon: running [sarahscomp.local]
root         468       1  0 16:07 ?        00:00:00 /usr/sbin/cron -f -P
message+     470       1  0 16:07 ?        00:00:03 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         472       1  0 16:07 ?        00:00:01 /usr/sbin/NetworkManager --no-daemon
root         483       1  0 16:07 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         484       1  0 16:07 ?        00:00:04 /usr/libexec/polkitd --no-debug
root         485       1  0 16:07 ?        00:00:00 /usr/libexec/power-profiles-daemon
syslog       486       1  0 16:07 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root         493       1  0 16:07 ?        00:00:19 /usr/lib/snapd/snapd
root         494       1  0 16:07 ?        00:00:00 /usr/libexec/switcheroo-control
root         505       1  0 16:07 ?        00:00:00 /lib/systemd/systemd-logind
root         510       1  0 16:07 ?        00:00:00 /usr/libexec/udisks2/udisksd
root         511       1  0 16:07 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        528     466  0 16:07 ?        00:00:00 avahi-daemon: chroot helper
root         545       1  0 16:07 ?        00:00:00 /usr/sbin/ModemManager
root         564       1  0 16:07 ?        00:00:00 /usr/sbin/cupsd -l
root         613       1  0 16:07 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         621       1  0 16:07 ?        00:00:00 /usr/sbin/gdm3
root         716       1  0 16:07 ?        00:00:00 /usr/sbin/cups-browsed
kernoops     730       1  0 16:07 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops     739       1  0 16:07 ?        00:00:00 /usr/sbin/kerneloops
rtkit        812       1  0 16:07 ?        00:00:00 /usr/libexec/rtkit-daemon
root        1014       1  0 16:07 ?        00:00:00 /usr/libexec/upowerd
root        1062       1  1 16:07 ?        00:00:32 /usr/libexec/packagekitd
colord      1210       1  0 16:07 ?        00:00:00 /usr/libexec/colord
root        1274     621  0 16:07 ?        00:00:00 gdm-session-worker [pam/gdm-password]
sninan      1281       1  0 16:07 ?        00:00:03 /lib/systemd/systemd --user
sninan      1282    1281  0 16:07 ?        00:00:00 (sd-pam)
sninan      1288    1281  0 16:07 ?        00:00:00 /usr/bin/pipewire
sninan      1289    1281  0 16:07 ?        00:00:00 /usr/bin/pipewire-media-session
sninan      1290    1281  0 16:07 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
sninan      1296    1281  0 16:07 ?        00:00:00 /usr/bin/ubuntu-report service
sninan      1299       1  0 16:07 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
sninan      1312    1281  0 16:07 ?        00:00:02 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
sninan      1316    1281  0 16:07 ?        00:00:00 /usr/libexec/gvfsd
sninan      1317    1274  0 16:07 tty2     00:00:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
sninan      1328    1317  0 16:07 tty2     00:00:00 /usr/libexec/gnome-session-binary --session=ubuntu
sninan      1329    1281  0 16:07 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
sninan      1331    1281  0 16:07 ?        00:00:00 /usr/libexec/xdg-document-portal
sninan      1347    1281  0 16:07 ?        00:00:00 /usr/libexec/xdg-permission-store
root        1354    1331  0 16:07 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
sninan      1402    1281  0 16:07 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
sninan      1417    1281  0 16:07 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
sninan      1433    1417  0 16:08 ?        00:00:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
